,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
25,,landed,arrival,IX,AXB,Air India Express,2025-09-23T11:35:00.000,2025-09-23T11:35:00.000,12,20,2025-09-23T11:35:00.000,2025-09-23T11:36:00.000,,BOM,VABB,2025-09-23T11:15:00.000,2,2025-09-23T09:39:00.000,2025-09-23T09:39:00.000,,55,2025-09-23T09:39:00.000,2025-09-23T09:26:00.000,,IXR,VERC,2025-09-23T08:45:00.000,,IX1238,AXB1238,1238,,,,,,
26,,landed,arrival,BA,BAW,British Airways,2025-09-23T10:57:00.000,2025-09-23T10:57:00.000,01,,2025-09-23T10:57:00.000,2025-09-23T10:58:00.000,,BOM,VABB,2025-09-23T11:15:00.000,1,2025-09-23T09:21:00.000,2025-09-23T09:21:00.000,,12,2025-09-23T09:21:00.000,2025-09-23T09:10:00.000,,MAA,VOMM,2025-09-23T09:10:00.000,1,BA8794,BAW8794,8794,6e,igo,indigo,6e5304,igo5304,5304
27,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T10:57:00.000,2025-09-23T10:57:00.000,01,,2025-09-23T10:57:00.000,2025-09-23T10:58:00.000,,BOM,VABB,2025-09-23T11:15:00.000,1,2025-09-23T09:21:00.000,2025-09-23T09:21:00.000,,12,2025-09-23T09:21:00.000,2025-09-23T09:10:00.000,,MAA,VOMM,2025-09-23T09:10:00.000,1,VS9465,VIR9465,9465,6e,igo,indigo,6e5304,igo5304,5304
28,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:57:00.000,2025-09-23T10:57:00.000,01,,2025-09-23T10:57:00.000,2025-09-23T10:58:00.000,,BOM,VABB,2025-09-23T11:15:00.000,1,2025-09-23T09:21:00.000,2025-09-23T09:21:00.000,,12,2025-09-23T09:21:00.000,2025-09-23T09:10:00.000,,MAA,VOMM,2025-09-23T09:10:00.000,1,6E5304,IGO5304,5304,,,,,,
29,,landed,arrival,AI,AIC,Air India,2025-09-23T10:42:00.000,2025-09-23T10:42:00.000,14,,2025-09-23T10:42:00.000,2025-09-23T10:42:00.000,,BOM,VABB,2025-09-23T11:20:00.000,2,2025-09-23T09:29:00.000,2025-09-23T09:29:00.000,,,2025-09-23T09:29:00.000,2025-09-23T09:30:00.000,17,HYD,VOHS,2025-09-23T09:30:00.000,,AI2874,AIC2874,2874,,,,,,
30,,landed,arrival,AI,AIC,Air India,2025-09-23T10:36:00.000,2025-09-23T10:36:00.000,13,,2025-09-23T10:36:00.000,2025-09-23T10:32:00.000,,BOM,VABB,2025-09-23T11:20:00.000,2,2025-09-23T08:29:00.000,2025-09-23T08:29:00.000,,,2025-09-23T08:29:00.000,2025-09-23T08:17:00.000,03,ATQ,VIAR,2025-09-23T08:35:00.000,,AI2729,AIC2729,2729,,,,,,
31,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T10:31:00.000,2025-09-23T10:31:00.000,02,,2025-09-23T10:31:00.000,2025-09-23T10:31:00.000,,BOM,VABB,2025-09-23T11:20:00.000,1,2025-09-23T09:26:00.000,2025-09-23T09:26:00.000,,,2025-09-23T09:26:00.000,2025-09-23T09:35:00.000,,BHO,VABP,2025-09-23T09:35:00.000,,VS8316,VIR8316,8316,6e,igo,indigo,6e5187,igo5187,5187
32,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:31:00.000,2025-09-23T10:31:00.000,02,,2025-09-23T10:31:00.000,2025-09-23T10:31:00.000,,BOM,VABB,2025-09-23T11:20:00.000,1,2025-09-23T09:26:00.000,2025-09-23T09:26:00.000,,,2025-09-23T09:26:00.000,2025-09-23T09:35:00.000,,BHO,VABP,2025-09-23T09:35:00.000,,6E5187,IGO5187,5187,,,,,,
33,,landed,arrival,TP,TAP,TAP Air Portugal,2025-09-23T11:21:00.000,2025-09-23T11:21:00.000,,,2025-09-23T11:21:00.000,2025-09-23T11:22:00.000,,BOM,VABB,2025-09-23T11:25:00.000,2,2025-09-22T21:58:00.000,2025-09-22T21:58:00.000,,53,2025-09-22T21:58:00.000,2025-09-22T21:05:00.000,B46,LHR,EGLL,2025-09-22T21:05:00.000,2,TP7040,TAP7040,7040,ai,aic,air india,ai130,aic130,130
34,,landed,arrival,SQ,SIA,Singapore Airlines,2025-09-23T11:21:00.000,2025-09-23T11:21:00.000,,,2025-09-23T11:21:00.000,2025-09-23T11:22:00.000,,BOM,VABB,2025-09-23T11:25:00.000,2,2025-09-22T21:58:00.000,2025-09-22T21:58:00.000,,53,2025-09-22T21:58:00.000,2025-09-22T21:05:00.000,B46,LHR,EGLL,2025-09-22T21:05:00.000,2,SQ4928,SIA4928,4928,ai,aic,air india,ai130,aic130,130
