status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country
active,departure,VS,Virgin Atlantic,,,,COK,2025-09-23 12:45:00,,35.0,2025-09-23 11:30:00,BOM,2025-09-23 10:55:00,VS8519,India,India
active,departure,6E,IndiGo,,,,COK,2025-09-23 12:45:00,,35.0,2025-09-23 11:30:00,BOM,2025-09-23 10:55:00,6E673,India,India
active,departure,AI,Air India,,,2025-09-23 12:11:00,JGA,2025-09-23 12:25:00,2025-09-23 11:19:00,20.0,2025-09-23 11:06:00,BOM,2025-09-23 11:00:00,AI647,India,India
active,departure,AI,Air India,,,,HYD,2025-09-23 12:30:00,,,2025-09-23 11:00:00,BOM,2025-09-23 11:00:00,AI2444,India,India
active,departure,ET,Ethiopian Airlines,,,2025-09-23 12:53:00,JAI,2025-09-23 12:55:00,2025-09-23 11:32:00,33.0,2025-09-23 11:10:00,BOM,2025-09-23 11:00:00,ET1757,India,India
active,departure,AI,Air India,,,2025-09-23 12:53:00,JAI,2025-09-23 12:55:00,2025-09-23 11:32:00,33.0,2025-09-23 11:10:00,BOM,2025-09-23 11:00:00,AI2635,India,India
active,departure,QP,Akasa Air,,,2025-09-23 13:19:00,LKO,2025-09-23 13:20:00,2025-09-23 11:29:00,29.0,2025-09-23 11:00:00,BOM,2025-09-23 11:00:00,QP1152,India,India
active,departure,QP,Akasa Air,,1.0,2025-09-23 14:06:00,IXB,2025-09-23 14:05:00,2025-09-23 11:34:00,34.0,2025-09-23 11:00:00,BOM,2025-09-23 11:00:00,QP1385,India,India
active,departure,UL,SriLankan Airlines,,,2025-09-23 13:23:00,LKO,2025-09-23 13:25:00,2025-09-23 11:36:00,32.0,2025-09-23 11:15:00,BOM,2025-09-23 11:05:00,UL3634,India,India
active,departure,AI,Air India,,,2025-09-23 13:23:00,LKO,2025-09-23 13:25:00,2025-09-23 11:36:00,32.0,2025-09-23 11:15:00,BOM,2025-09-23 11:05:00,AI2491,India,India
active,departure,AI,Air India,,,2025-09-23 13:29:00,ADD,2025-09-23 14:00:00,2025-09-23 11:39:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 11:05:00,AI7566,India,Ethiopia
active,departure,ET,Ethiopian Airlines,,,2025-09-23 13:29:00,ADD,2025-09-23 14:00:00,2025-09-23 11:39:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 11:05:00,ET641,India,Ethiopia
active,departure,KL,KLM,,10.0,2025-09-23 14:14:00,KTM,2025-09-23 14:05:00,2025-09-23 11:38:00,33.0,2025-09-23 11:28:00,BOM,2025-09-23 11:05:00,KL4768,India,Nepal
active,departure,6E,IndiGo,,10.0,2025-09-23 14:14:00,KTM,2025-09-23 14:05:00,2025-09-23 11:38:00,33.0,2025-09-23 11:28:00,BOM,2025-09-23 11:05:00,6E1157,India,Nepal
active,departure,EY,Etihad Airways,,,2025-09-23 12:46:00,AUH,2025-09-23 13:00:00,2025-09-23 11:43:00,34.0,2025-09-23 11:42:00,BOM,2025-09-23 11:10:00,EY201,India,United Arab Emirates
active,departure,AF,Air France,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,AF6475,India,India
active,departure,BA,British Airways,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,BA7926,India,India
active,departure,MH,Malaysia Airlines,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,MH5273,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,VS8547,India,India
active,departure,6E,IndiGo,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,6E5307,India,India
active,departure,6E,IndiGo,,1.0,2025-09-23 13:21:00,AGR,2025-09-23 13:20:00,2025-09-23 11:46:00,36.0,2025-09-23 11:20:00,BOM,2025-09-23 11:10:00,6E5316,India,India
active,departure,AI,Air India,,14.0,2025-09-23 12:53:00,UDR,2025-09-23 12:40:00,2025-09-23 11:49:00,34.0,2025-09-23 11:20:00,BOM,2025-09-23 11:15:00,AI2593,India,India
active,departure,JL,Jet Linx Aviation,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,JL9260,India,India
active,departure,QF,Qantas,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,QF5282,India,India
active,departure,VS,Virgin Atlantic,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,VS8531,India,India
active,departure,6E,IndiGo,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,6E6827,India,India
active,departure,AI,Air India,,10.0,2025-09-23 13:15:00,BLR,2025-09-23 13:05:00,2025-09-23 11:56:00,37.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,AI2632,India,India
active,departure,ET,Ethiopian Airlines,,1.0,2025-09-23 12:40:00,GOI,2025-09-23 12:40:00,2025-09-23 11:51:00,31.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,ET1755,India,India
active,departure,AI,Air India,,1.0,2025-09-23 12:40:00,GOI,2025-09-23 12:40:00,2025-09-23 11:51:00,31.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,AI2841,India,India
active,departure,SG,SpiceJet,,,2025-09-23 12:53:00,PBD,2025-09-23 13:00:00,2025-09-23 11:58:00,29.0,2025-09-23 11:39:00,BOM,2025-09-23 11:30:00,SG2905,India,India
active,departure,BA,British Airways,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,BA8019,India,India
active,departure,JL,Jet Linx Aviation,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,JL9758,India,India
active,departure,KL,KLM,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,KL4761,India,India
active,departure,QF,Qantas,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,QF5058,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,VS8496,India,India
active,departure,6E,IndiGo,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,6E5217,India,India
unknown,departure,MA,MAE Aircraft Management,,,,BAH,2025-09-23 13:00:00,,,,BOM,2025-09-23 11:30:00,MA6304,India,Bahrain
active,departure,AI,Air India,,2.0,2025-09-23 14:31:00,CCU,2025-09-23 14:30:00,2025-09-23 12:07:00,27.0,2025-09-23 11:48:00,BOM,2025-09-23 11:40:00,AI2471,India,India
active,departure,NH,ANA,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,NH6285,India,Singapore
active,departure,NZ,Air New Zealand,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,NZ3201,India,Singapore
active,departure,SQ,Singapore Airlines,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,SQ421,India,Singapore
active,departure,AI,Air India,,,2025-09-23 13:44:00,DEL,2025-09-23 14:05:00,2025-09-23 12:03:00,13.0,2025-09-23 11:44:00,BOM,2025-09-23 11:50:00,AI2419,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:34:00,MAA,2025-09-23 13:50:00,2025-09-23 12:01:00,11.0,2025-09-23 11:42:00,BOM,2025-09-23 11:50:00,VS8594,India,India
active,departure,6E,IndiGo,,,2025-09-23 13:34:00,MAA,2025-09-23 13:50:00,2025-09-23 12:01:00,11.0,2025-09-23 11:42:00,BOM,2025-09-23 11:50:00,6E5206,India,India
active,departure,TK,Turkish Airlines,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,TK4745,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,VS8556,India,India
active,departure,6E,IndiGo,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,6E5097,India,India
active,departure,AI,Air India,,4.0,2025-09-23 13:49:00,CJB,2025-09-23 13:45:00,2025-09-23 12:18:00,18.0,2025-09-23 12:03:00,BOM,2025-09-23 12:00:00,AI683,India,India
active,departure,AI,Air India,,,,GOI,2025-09-23 13:15:00,2025-09-23 12:53:00,53.0,2025-09-23 12:19:00,BOM,2025-09-23 12:00:00,AI9531,India,India
active,departure,IX,Air India Express,,,,GOI,2025-09-23 13:15:00,2025-09-23 12:53:00,53.0,2025-09-23 12:19:00,BOM,2025-09-23 12:00:00,IX1070,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:36:00,GWL,2025-09-23 14:00:00,2025-09-23 12:05:00,6.0,2025-09-23 12:02:00,BOM,2025-09-23 12:00:00,VS8552,India,India
active,departure,6E,IndiGo,,,2025-09-23 13:36:00,GWL,2025-09-23 14:00:00,2025-09-23 12:05:00,6.0,2025-09-23 12:02:00,BOM,2025-09-23 12:00:00,6E5276,India,India
active,departure,AI,Air India,,,,BBI,2025-09-23 14:30:00,,28.0,2025-09-23 12:33:00,BOM,2025-09-23 12:05:00,AI9416,India,India
active,departure,IX,Air India Express,,,,BBI,2025-09-23 14:30:00,,28.0,2025-09-23 12:33:00,BOM,2025-09-23 12:05:00,IX1238,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:43:00,JDH,2025-09-23 13:50:00,2025-09-23 11:27:00,,2025-09-23 12:04:00,BOM,2025-09-23 12:05:00,VS8581,India,India
active,departure,6E,IndiGo,,,2025-09-23 13:43:00,JDH,2025-09-23 13:50:00,2025-09-23 11:27:00,,2025-09-23 12:04:00,BOM,2025-09-23 12:05:00,6E5274,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:55:00,IXD,2025-09-23 14:15:00,2025-09-23 12:15:00,10.0,2025-09-23 12:13:00,BOM,2025-09-23 12:05:00,VS8572,India,India
active,departure,6E,IndiGo,,,2025-09-23 13:55:00,IXD,2025-09-23 14:15:00,2025-09-23 12:15:00,10.0,2025-09-23 12:13:00,BOM,2025-09-23 12:05:00,6E6937,India,India
active,departure,AI,Air India,,,2025-09-23 14:14:00,DED,2025-09-23 14:20:00,2025-09-23 12:17:00,7.0,2025-09-23 12:06:00,BOM,2025-09-23 12:10:00,AI677,India,India
active,departure,AI,Air India,,1.0,2025-09-23 14:36:00,VNS,2025-09-23 14:35:00,2025-09-23 12:44:00,30.0,2025-09-23 12:19:00,BOM,2025-09-23 12:15:00,AI9518,India,India
active,departure,IX,Air India Express,,1.0,2025-09-23 14:36:00,VNS,2025-09-23 14:35:00,2025-09-23 12:44:00,30.0,2025-09-23 12:19:00,BOM,2025-09-23 12:15:00,IX1023,India,India
active,departure,AI,Air India,,10.0,2025-09-23 15:14:00,CCU,2025-09-23 15:05:00,2025-09-23 12:47:00,28.0,2025-09-23 12:19:00,BOM,2025-09-23 12:20:00,AI2901,India,India
active,departure,AI,Air India,,4.0,2025-09-23 15:03:00,CMB,2025-09-23 15:00:00,2025-09-23 12:55:00,30.0,2025-09-23 12:29:00,BOM,2025-09-23 12:25:00,AI276,India,Sri Lanka
active,departure,AI,Air India,,,2025-09-23 14:25:00,DEL,2025-09-23 14:55:00,2025-09-23 12:41:00,12.0,2025-09-23 12:09:00,BOM,2025-09-23 12:30:00,AI2952,India,India
active,departure,BA,British Airways,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,BA8777,India,India
active,departure,JL,Jet Linx Aviation,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,JL9262,India,India
active,departure,QF,Qantas,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,QF5298,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,VS8535,India,India
active,departure,6E,IndiGo,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,6E6028,India,India
active,departure,VS,Virgin Atlantic,,6.0,2025-09-23 15:06:00,PAT,2025-09-23 15:00:00,2025-09-23 12:59:00,25.0,2025-09-23 12:27:00,BOM,2025-09-23 12:35:00,VS8602,India,India
active,departure,6E,IndiGo,,6.0,2025-09-23 15:06:00,PAT,2025-09-23 15:00:00,2025-09-23 12:59:00,25.0,2025-09-23 12:27:00,BOM,2025-09-23 12:35:00,6E2043,India,India
active,departure,AI,Air India,,,2025-09-23 15:31:00,CCU,2025-09-23 15:35:00,2025-09-23 13:09:00,24.0,2025-09-23 12:43:00,BOM,2025-09-23 12:45:00,AI9884,India,India
active,departure,IX,Air India Express,,,2025-09-23 15:31:00,CCU,2025-09-23 15:35:00,2025-09-23 13:09:00,24.0,2025-09-23 12:43:00,BOM,2025-09-23 12:45:00,IX2782,India,India
active,departure,JL,Jet Linx Aviation,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,JL9760,India,India
active,departure,QF,Qantas,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,QF5068,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,VS8495,India,India
active,departure,6E,IndiGo,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,6E5212,India,India
active,departure,TK,Turkish Airlines,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,TK4739,India,India
active,departure,VS,Virgin Atlantic,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,VS8512,India,India
active,departure,6E,IndiGo,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,6E5395,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:06:00,AIP,2025-09-23 15:15:00,2025-09-23 13:08:00,13.0,2025-09-23 12:55:00,BOM,2025-09-23 12:55:00,6E5931,India,India
active,departure,AI,Air India,,,2025-09-23 14:53:00,DEL,2025-09-23 15:15:00,2025-09-23 13:11:00,11.0,2025-09-23 12:57:00,BOM,2025-09-23 13:00:00,AI2677,India,India
active,departure,QP,Akasa Air,,,2025-09-23 14:57:00,DEL,2025-09-23 15:15:00,2025-09-23 13:16:00,16.0,2025-09-23 13:00:00,BOM,2025-09-23 13:00:00,QP1127,India,India
active,departure,AA,American Airlines,,,2025-09-23 17:38:00,LHR,2025-09-23 18:20:00,2025-09-23 13:14:00,9.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,AA6660,India,United Kingdom
active,departure,BA,British Airways,,,2025-09-23 17:38:00,LHR,2025-09-23 18:20:00,2025-09-23 13:14:00,9.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,BA198,India,United Kingdom
active,departure,QP,Akasa Air,,,2025-09-23 14:59:00,IXD,2025-09-23 15:20:00,2025-09-23 13:17:00,13.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,QP1546,India,India
active,departure,QP,Akasa Air,,,2025-09-23 15:18:00,VNS,2025-09-23 15:35:00,2025-09-23 13:25:00,16.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,QP1498,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:57:00,KNU,2025-09-23 15:20:00,2025-09-23 13:12:00,2.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,VS8582,India,India
active,departure,6E,IndiGo,,,2025-09-23 14:57:00,KNU,2025-09-23 15:20:00,2025-09-23 13:12:00,2.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,6E824,India,India
active,departure,AI,Air India,,,2025-09-23 14:38:00,IXE,2025-09-23 15:00:00,2025-09-23 13:22:00,8.0,2025-09-23 13:07:00,BOM,2025-09-23 13:15:00,AI9669,India,India
active,departure,IX,Air India Express,,,2025-09-23 14:38:00,IXE,2025-09-23 15:00:00,2025-09-23 13:22:00,8.0,2025-09-23 13:07:00,BOM,2025-09-23 13:15:00,IX2546,India,India
active,departure,AI,Air India,,12.0,2025-09-23 16:12:00,CCU,2025-09-23 16:00:00,2025-09-23 13:52:00,28.0,2025-09-23 13:36:00,BOM,2025-09-23 13:25:00,AI179,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:44:00,IXR,2025-09-23 16:00:00,2025-09-23 13:44:00,19.0,2025-09-23 13:25:00,BOM,2025-09-23 13:25:00,VS8576,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:44:00,IXR,2025-09-23 16:00:00,2025-09-23 13:44:00,19.0,2025-09-23 13:25:00,BOM,2025-09-23 13:25:00,6E831,India,India
active,departure,AI,Air India,,,2025-09-23 14:40:00,SHJ,2025-09-23 15:05:00,2025-09-23 13:42:00,13.0,2025-09-23 13:29:00,BOM,2025-09-23 13:30:00,AI9171,India,United Arab Emirates
active,departure,IX,Air India Express,,,2025-09-23 14:40:00,SHJ,2025-09-23 15:05:00,2025-09-23 13:42:00,13.0,2025-09-23 13:29:00,BOM,2025-09-23 13:30:00,IX251,India,United Arab Emirates
active,departure,ET,Ethiopian Airlines,,19.0,2025-09-23 15:48:00,MAA,2025-09-23 15:30:00,2025-09-23 14:10:00,36.0,2025-09-23 13:48:00,BOM,2025-09-23 13:35:00,ET4406,India,India
active,departure,AI,Air India,,19.0,2025-09-23 15:48:00,MAA,2025-09-23 15:30:00,2025-09-23 14:10:00,36.0,2025-09-23 13:48:00,BOM,2025-09-23 13:35:00,AI2615,India,India
active,departure,QP,Akasa Air,,,2025-09-23 17:05:00,GAU,2025-09-23 17:05:00,2025-09-23 14:08:00,34.0,2025-09-23 13:35:00,BOM,2025-09-23 13:35:00,QP1503,India,India
active,departure,JL,Jet Linx Aviation,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,JL9264,India,India
active,departure,QF,Qantas,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,QF5274,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,VS8524,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,6E615,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:14:00,IXM,2025-09-23 15:55:00,2025-09-23 13:33:00,,2025-09-23 13:35:00,BOM,2025-09-23 13:40:00,6E2528,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:57:00,SXR,2025-09-23 16:40:00,2025-09-23 13:45:00,1.0,2025-09-23 13:40:00,BOM,2025-09-23 13:45:00,VS8606,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:57:00,SXR,2025-09-23 16:40:00,2025-09-23 13:45:00,1.0,2025-09-23 13:40:00,BOM,2025-09-23 13:45:00,6E214,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:52:00,MAA,2025-09-23 16:00:00,2025-09-23 14:16:00,31.0,2025-09-23 14:05:00,BOM,2025-09-23 13:45:00,VS8596,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:52:00,MAA,2025-09-23 16:00:00,2025-09-23 14:16:00,31.0,2025-09-23 14:05:00,BOM,2025-09-23 13:45:00,6E5337,India,India
active,departure,SQ,Singapore Airlines,,,2025-09-23 16:22:00,CCU,2025-09-23 16:50:00,2025-09-23 13:58:00,9.0,2025-09-23 13:41:00,BOM,2025-09-23 13:50:00,SQ4853,India,India
active,departure,AI,Air India,,,2025-09-23 16:22:00,CCU,2025-09-23 16:50:00,2025-09-23 13:58:00,9.0,2025-09-23 13:41:00,BOM,2025-09-23 13:50:00,AI2773,India,India
active,departure,EY,Etihad Airways,,,2025-09-23 14:59:00,AUH,2025-09-23 15:35:00,2025-09-23 13:59:00,10.0,2025-09-23 14:15:00,BOM,2025-09-23 13:50:00,EY203,India,United Arab Emirates
unknown,departure,9I,Alliance Air,,,,DIU,2025-09-23 14:55:00,,,,BOM,2025-09-23 13:50:00,9I623,India,India
active,departure,JL,Jet Linx Aviation,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,JL9762,India,India
active,departure,QF,Qantas,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,QF5052,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,VS8503,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,6E5382,India,India
active,departure,BA,British Airways,,,2025-09-23 15:04:00,GOI,2025-09-23 15:25:00,2025-09-23 14:19:00,10.0,2025-09-23 14:00:00,BOM,2025-09-23 14:10:00,BA8014,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:04:00,GOI,2025-09-23 15:25:00,2025-09-23 14:19:00,10.0,2025-09-23 14:00:00,BOM,2025-09-23 14:10:00,VS8545,India,India
active,departure,6E,IndiGo,,,2025-09-23 15:04:00,GOI,2025-09-23 15:25:00,2025-09-23 14:19:00,10.0,2025-09-23 14:00:00,BOM,2025-09-23 14:10:00,6E5141,India,India
active,departure,AI,Air India,,,2025-09-23 15:35:00,UDR,2025-09-23 16:00:00,2025-09-23 14:34:00,9.0,2025-09-23 14:22:00,BOM,2025-09-23 14:25:00,AI2595,India,India
active,departure,QP,Akasa Air,,,2025-09-23 16:35:00,LKO,2025-09-23 16:50:00,2025-09-23 14:48:00,13.0,2025-09-23 14:35:00,BOM,2025-09-23 14:35:00,QP1451,India,India
active,departure,AI,Air India,,,,DEL,2025-09-23 16:55:00,,40.0,2025-09-23 15:20:00,BOM,2025-09-23 14:40:00,AI2944,India,India
active,departure,BA,British Airways,,,2025-09-23 16:01:00,NAG,2025-09-23 16:15:00,2025-09-23 14:51:00,12.0,2025-09-23 14:32:00,BOM,2025-09-23 14:40:00,BA7945,India,India
active,departure,VS,Virgin Atlantic,,,2025-09-23 16:01:00,NAG,2025-09-23 16:15:00,2025-09-23 14:51:00,12.0,2025-09-23 14:32:00,BOM,2025-09-23 14:40:00,VS8599,India,India
active,departure,6E,IndiGo,,,2025-09-23 16:01:00,NAG,2025-09-23 16:15:00,2025-09-23 14:51:00,12.0,2025-09-23 14:32:00,BOM,2025-09-23 14:40:00,6E6802,India,India
