,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
41,,active,departure,JL,JTL,Jet Linx Aviation,,,05B,,,2025-09-23T13:15:00.000,A1,BLR,VOBL,2025-09-23T13:20:00.000,1,2025-09-23T11:53:00.000,2025-09-23T11:53:00.000,,23,2025-09-23T11:53:00.000,2025-09-23T11:25:00.000,25,BOM,VABB,2025-09-23T11:30:00.000,1,JL9758,JTL9758,9758,6e,igo,indigo,6e5217,igo5217,5217
42,,active,departure,KL,KLM,KLM,,,05B,,,2025-09-23T13:15:00.000,A1,BLR,VOBL,2025-09-23T13:20:00.000,1,2025-09-23T11:53:00.000,2025-09-23T11:53:00.000,,23,2025-09-23T11:53:00.000,2025-09-23T11:25:00.000,25,BOM,VABB,2025-09-23T11:30:00.000,1,KL4761,KLM4761,4761,6e,igo,indigo,6e5217,igo5217,5217
43,,active,departure,QF,QFA,Qantas,,,05B,,,2025-09-23T13:15:00.000,A1,BLR,VOBL,2025-09-23T13:20:00.000,1,2025-09-23T11:53:00.000,2025-09-23T11:53:00.000,,23,2025-09-23T11:53:00.000,2025-09-23T11:25:00.000,25,BOM,VABB,2025-09-23T11:30:00.000,1,QF5058,QFA5058,5058,6e,igo,indigo,6e5217,igo5217,5217
44,,active,departure,VS,VIR,Virgin Atlantic,,,05B,,,2025-09-23T13:15:00.000,A1,BLR,VOBL,2025-09-23T13:20:00.000,1,2025-09-23T11:53:00.000,2025-09-23T11:53:00.000,,23,2025-09-23T11:53:00.000,2025-09-23T11:25:00.000,25,BOM,VABB,2025-09-23T11:30:00.000,1,VS8496,VIR8496,8496,6e,igo,indigo,6e5217,igo5217,5217
45,,active,departure,6E,IGO,IndiGo,,,05B,,,2025-09-23T13:15:00.000,A1,BLR,VOBL,2025-09-23T13:20:00.000,1,2025-09-23T11:53:00.000,2025-09-23T11:53:00.000,,23,2025-09-23T11:53:00.000,2025-09-23T11:25:00.000,25,BOM,VABB,2025-09-23T11:30:00.000,1,6E5217,IGO5217,5217,,,,,,
46,,unknown,departure,MA,MEN,MAE Aircraft Management,,,,,,,,BAH,OBBI,2025-09-23T13:00:00.000,,,,,,,,,BOM,VABB,2025-09-23T11:30:00.000,,MA6304,MEN6304,6304,,,,,,
47,,active,departure,AI,AIC,Air India,,,,2,,2025-09-23T14:31:00.000,,CCU,VECC,2025-09-23T14:30:00.000,,2025-09-23T12:07:00.000,2025-09-23T12:07:00.000,,27,2025-09-23T12:07:00.000,2025-09-23T11:48:00.000,,BOM,VABB,2025-09-23T11:40:00.000,2,AI2471,AIC2471,2471,,,,,,
48,,active,departure,NH,ANA,ANA,,,,,,2025-09-23T19:44:00.000,E28,SIN,WSSS,2025-09-23T19:50:00.000,2,2025-09-23T12:13:00.000,2025-09-23T12:13:00.000,,28,2025-09-23T12:13:00.000,2025-09-23T11:49:00.000,71,BOM,VABB,2025-09-23T11:45:00.000,2,NH6285,ANA6285,6285,sq,sia,singapore airlines,sq421,sia421,421
49,,active,departure,NZ,ANZ,Air New Zealand,,,,,,2025-09-23T19:44:00.000,E28,SIN,WSSS,2025-09-23T19:50:00.000,2,2025-09-23T12:13:00.000,2025-09-23T12:13:00.000,,28,2025-09-23T12:13:00.000,2025-09-23T11:49:00.000,71,BOM,VABB,2025-09-23T11:45:00.000,2,NZ3201,ANZ3201,3201,sq,sia,singapore airlines,sq421,sia421,421
50,,active,departure,SQ,SIA,Singapore Airlines,,,,,,2025-09-23T19:44:00.000,E28,SIN,WSSS,2025-09-23T19:50:00.000,2,2025-09-23T12:13:00.000,2025-09-23T12:13:00.000,,28,2025-09-23T12:13:00.000,2025-09-23T11:49:00.000,71,BOM,VABB,2025-09-23T11:45:00.000,2,SQ421,SIA421,421,,,,,,
