status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,QF,Qantas,,,2025-09-23T13:15:00.000,BLR,2025-09-23T13:20:00.000,2025-09-23T11:53:00.000,23.0,2025-09-23T11:25:00.000,BOM,2025-09-23T11:30:00.000,QF5058
active,departure,VS,Virgin Atlantic,,,2025-09-23T13:15:00.000,BLR,2025-09-23T13:20:00.000,2025-09-23T11:53:00.000,23.0,2025-09-23T11:25:00.000,BOM,2025-09-23T11:30:00.000,VS8496
active,departure,6E,IndiGo,,,2025-09-23T13:15:00.000,BLR,2025-09-23T13:20:00.000,2025-09-23T11:53:00.000,23.0,2025-09-23T11:25:00.000,BOM,2025-09-23T11:30:00.000,6E5217
unknown,departure,MA,MAE Aircraft Management,,,,BAH,2025-09-23T13:00:00.000,,,,BOM,2025-09-23T11:30:00.000,MA6304
active,departure,AI,Air India,,2.0,2025-09-23T14:31:00.000,CCU,2025-09-23T14:30:00.000,2025-09-23T12:07:00.000,27.0,2025-09-23T11:48:00.000,BOM,2025-09-23T11:40:00.000,AI2471
active,departure,NH,ANA,,,2025-09-23T19:44:00.000,SIN,2025-09-23T19:50:00.000,2025-09-23T12:13:00.000,28.0,2025-09-23T11:49:00.000,BOM,2025-09-23T11:45:00.000,NH6285
active,departure,NZ,Air New Zealand,,,2025-09-23T19:44:00.000,SIN,2025-09-23T19:50:00.000,2025-09-23T12:13:00.000,28.0,2025-09-23T11:49:00.000,BOM,2025-09-23T11:45:00.000,NZ3201
active,departure,SQ,Singapore Airlines,,,2025-09-23T19:44:00.000,SIN,2025-09-23T19:50:00.000,2025-09-23T12:13:00.000,28.0,2025-09-23T11:49:00.000,BOM,2025-09-23T11:45:00.000,SQ421
active,departure,AI,Air India,,,2025-09-23T13:44:00.000,DEL,2025-09-23T14:05:00.000,2025-09-23T12:03:00.000,13.0,2025-09-23T11:44:00.000,BOM,2025-09-23T11:50:00.000,AI2419
active,departure,VS,Virgin Atlantic,,,2025-09-23T13:34:00.000,MAA,2025-09-23T13:50:00.000,2025-09-23T12:01:00.000,11.0,2025-09-23T11:42:00.000,BOM,2025-09-23T11:50:00.000,VS8594
active,departure,6E,IndiGo,,,2025-09-23T13:34:00.000,MAA,2025-09-23T13:50:00.000,2025-09-23T12:01:00.000,11.0,2025-09-23T11:42:00.000,BOM,2025-09-23T11:50:00.000,6E5206
active,departure,TK,Turkish Airlines,,,2025-09-23T13:19:00.000,HYD,2025-09-23T13:35:00.000,2025-09-23T12:11:00.000,17.0,2025-09-23T12:09:00.000,BOM,2025-09-23T11:55:00.000,TK4745
active,departure,VS,Virgin Atlantic,,,2025-09-23T13:19:00.000,HYD,2025-09-23T13:35:00.000,2025-09-23T12:11:00.000,17.0,2025-09-23T12:09:00.000,BOM,2025-09-23T11:55:00.000,VS8556
active,departure,6E,IndiGo,,,2025-09-23T13:19:00.000,HYD,2025-09-23T13:35:00.000,2025-09-23T12:11:00.000,17.0,2025-09-23T12:09:00.000,BOM,2025-09-23T11:55:00.000,6E5097
active,departure,AI,Air India,,4.0,2025-09-23T13:49:00.000,CJB,2025-09-23T13:45:00.000,2025-09-23T12:18:00.000,18.0,2025-09-23T12:03:00.000,BOM,2025-09-23T12:00:00.000,AI683
active,departure,AI,Air India,,,,GOI,2025-09-23T13:15:00.000,2025-09-23T12:53:00.000,53.0,2025-09-23T12:19:00.000,BOM,2025-09-23T12:00:00.000,AI9531
active,departure,IX,Air India Express,,,,GOI,2025-09-23T13:15:00.000,2025-09-23T12:53:00.000,53.0,2025-09-23T12:19:00.000,BOM,2025-09-23T12:00:00.000,IX1070
active,departure,VS,Virgin Atlantic,,,2025-09-23T13:36:00.000,GWL,2025-09-23T14:00:00.000,2025-09-23T12:05:00.000,6.0,2025-09-23T12:02:00.000,BOM,2025-09-23T12:00:00.000,VS8552
active,departure,6E,IndiGo,,,2025-09-23T13:36:00.000,GWL,2025-09-23T14:00:00.000,2025-09-23T12:05:00.000,6.0,2025-09-23T12:02:00.000,BOM,2025-09-23T12:00:00.000,6E5276
active,departure,AI,Air India,,,,BBI,2025-09-23T14:30:00.000,,28.0,2025-09-23T12:33:00.000,BOM,2025-09-23T12:05:00.000,AI9416
active,departure,IX,Air India Express,,,,BBI,2025-09-23T14:30:00.000,,28.0,2025-09-23T12:33:00.000,BOM,2025-09-23T12:05:00.000,IX1238
active,departure,VS,Virgin Atlantic,,,2025-09-23T13:43:00.000,JDH,2025-09-23T13:50:00.000,2025-09-23T11:27:00.000,,2025-09-23T12:04:00.000,BOM,2025-09-23T12:05:00.000,VS8581
active,departure,6E,IndiGo,,,2025-09-23T13:43:00.000,JDH,2025-09-23T13:50:00.000,2025-09-23T11:27:00.000,,2025-09-23T12:04:00.000,BOM,2025-09-23T12:05:00.000,6E5274
active,departure,VS,Virgin Atlantic,,,2025-09-23T13:55:00.000,IXD,2025-09-23T14:15:00.000,2025-09-23T12:15:00.000,10.0,2025-09-23T12:13:00.000,BOM,2025-09-23T12:05:00.000,VS8572
active,departure,6E,IndiGo,,,2025-09-23T13:55:00.000,IXD,2025-09-23T14:15:00.000,2025-09-23T12:15:00.000,10.0,2025-09-23T12:13:00.000,BOM,2025-09-23T12:05:00.000,6E6937
active,departure,AI,Air India,,,2025-09-23T14:14:00.000,DED,2025-09-23T14:20:00.000,2025-09-23T12:17:00.000,7.0,2025-09-23T12:06:00.000,BOM,2025-09-23T12:10:00.000,AI677
active,departure,AI,Air India,,1.0,2025-09-23T14:36:00.000,VNS,2025-09-23T14:35:00.000,2025-09-23T12:44:00.000,30.0,2025-09-23T12:19:00.000,BOM,2025-09-23T12:15:00.000,AI9518
active,departure,IX,Air India Express,,1.0,2025-09-23T14:36:00.000,VNS,2025-09-23T14:35:00.000,2025-09-23T12:44:00.000,30.0,2025-09-23T12:19:00.000,BOM,2025-09-23T12:15:00.000,IX1023
active,departure,AI,Air India,,10.0,2025-09-23T15:14:00.000,CCU,2025-09-23T15:05:00.000,2025-09-23T12:47:00.000,28.0,2025-09-23T12:19:00.000,BOM,2025-09-23T12:20:00.000,AI2901
active,departure,AI,Air India,,4.0,2025-09-23T15:03:00.000,CMB,2025-09-23T15:00:00.000,2025-09-23T12:55:00.000,30.0,2025-09-23T12:29:00.000,BOM,2025-09-23T12:25:00.000,AI276
active,departure,AI,Air India,,,2025-09-23T14:25:00.000,DEL,2025-09-23T14:55:00.000,2025-09-23T12:41:00.000,12.0,2025-09-23T12:09:00.000,BOM,2025-09-23T12:30:00.000,AI2952
active,departure,BA,British Airways,,,2025-09-23T14:29:00.000,DEL,2025-09-23T14:40:00.000,2025-09-23T12:50:00.000,20.0,2025-09-23T12:30:00.000,BOM,2025-09-23T12:30:00.000,BA8777
active,departure,JL,Jet Linx Aviation,,,2025-09-23T14:29:00.000,DEL,2025-09-23T14:40:00.000,2025-09-23T12:50:00.000,20.0,2025-09-23T12:30:00.000,BOM,2025-09-23T12:30:00.000,JL9262
active,departure,QF,Qantas,,,2025-09-23T14:29:00.000,DEL,2025-09-23T14:40:00.000,2025-09-23T12:50:00.000,20.0,2025-09-23T12:30:00.000,BOM,2025-09-23T12:30:00.000,QF5298
active,departure,VS,Virgin Atlantic,,,2025-09-23T14:29:00.000,DEL,2025-09-23T14:40:00.000,2025-09-23T12:50:00.000,20.0,2025-09-23T12:30:00.000,BOM,2025-09-23T12:30:00.000,VS8535
active,departure,6E,IndiGo,,,2025-09-23T14:29:00.000,DEL,2025-09-23T14:40:00.000,2025-09-23T12:50:00.000,20.0,2025-09-23T12:30:00.000,BOM,2025-09-23T12:30:00.000,6E6028
active,departure,VS,Virgin Atlantic,,6.0,2025-09-23T15:06:00.000,PAT,2025-09-23T15:00:00.000,2025-09-23T12:59:00.000,25.0,2025-09-23T12:27:00.000,BOM,2025-09-23T12:35:00.000,VS8602
active,departure,6E,IndiGo,,6.0,2025-09-23T15:06:00.000,PAT,2025-09-23T15:00:00.000,2025-09-23T12:59:00.000,25.0,2025-09-23T12:27:00.000,BOM,2025-09-23T12:35:00.000,6E2043
active,departure,AI,Air India,,,2025-09-23T15:31:00.000,CCU,2025-09-23T15:35:00.000,2025-09-23T13:09:00.000,24.0,2025-09-23T12:43:00.000,BOM,2025-09-23T12:45:00.000,AI9884
active,departure,IX,Air India Express,,,2025-09-23T15:31:00.000,CCU,2025-09-23T15:35:00.000,2025-09-23T13:09:00.000,24.0,2025-09-23T12:43:00.000,BOM,2025-09-23T12:45:00.000,IX2782
