status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country,departure_hour,arrival_hour,departure_delay_flag,arrival_delay_flag,total_delay,flight_type,flight_duration
active,departure,JL,Jet Linx Aviation,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,JL9262,India,India,12,14,True,False,20.0,Domestic,
active,departure,QF,Qantas,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,QF5298,India,India,12,14,True,False,20.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,VS8535,India,India,12,14,True,False,20.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,6E6028,India,India,12,14,True,False,20.0,Domestic,
active,departure,VS,Virgin Atlantic,,6.0,2025-09-23 15:06:00,PAT,2025-09-23 15:00:00,2025-09-23 12:59:00,25.0,2025-09-23 12:27:00,BOM,2025-09-23 12:35:00,VS8602,India,India,12,15,True,True,31.0,Domestic,
active,departure,6E,IndiGo,,6.0,2025-09-23 15:06:00,PAT,2025-09-23 15:00:00,2025-09-23 12:59:00,25.0,2025-09-23 12:27:00,BOM,2025-09-23 12:35:00,6E2043,India,India,12,15,True,True,31.0,Domestic,
active,departure,AI,Air India,,,2025-09-23 15:31:00,CCU,2025-09-23 15:35:00,2025-09-23 13:09:00,24.0,2025-09-23 12:43:00,BOM,2025-09-23 12:45:00,AI9884,India,India,12,15,True,False,24.0,Domestic,
active,departure,IX,Air India Express,,,2025-09-23 15:31:00,CCU,2025-09-23 15:35:00,2025-09-23 13:09:00,24.0,2025-09-23 12:43:00,BOM,2025-09-23 12:45:00,IX2782,India,India,12,15,True,False,24.0,Domestic,
active,departure,JL,Jet Linx Aviation,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,JL9760,India,India,12,14,True,False,17.0,Domestic,
active,departure,QF,Qantas,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,QF5068,India,India,12,14,True,False,17.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,VS8495,India,India,12,14,True,False,17.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,6E5212,India,India,12,14,True,False,17.0,Domestic,
active,departure,TK,Turkish Airlines,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,TK4739,India,India,12,15,True,False,215.0,Domestic,
active,departure,VS,Virgin Atlantic,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,VS8512,India,India,12,15,True,False,215.0,Domestic,
active,departure,6E,IndiGo,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,6E5395,India,India,12,15,True,False,215.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 15:06:00,AIP,2025-09-23 15:15:00,2025-09-23 13:08:00,13.0,2025-09-23 12:55:00,BOM,2025-09-23 12:55:00,6E5931,India,India,12,15,True,False,13.0,Domestic,
active,departure,AI,Air India,,,2025-09-23 14:53:00,DEL,2025-09-23 15:15:00,2025-09-23 13:11:00,11.0,2025-09-23 12:57:00,BOM,2025-09-23 13:00:00,AI2677,India,India,13,15,True,False,11.0,Domestic,
active,departure,QP,Akasa Air,,,2025-09-23 14:57:00,DEL,2025-09-23 15:15:00,2025-09-23 13:16:00,16.0,2025-09-23 13:00:00,BOM,2025-09-23 13:00:00,QP1127,India,India,13,15,True,False,16.0,Domestic,
active,departure,AA,American Airlines,,,2025-09-23 17:38:00,LHR,2025-09-23 18:20:00,2025-09-23 13:14:00,9.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,AA6660,India,United Kingdom,13,18,True,False,9.0,International,
active,departure,BA,British Airways,,,2025-09-23 17:38:00,LHR,2025-09-23 18:20:00,2025-09-23 13:14:00,9.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,BA198,India,United Kingdom,13,18,True,False,9.0,International,
active,departure,QP,Akasa Air,,,2025-09-23 14:59:00,IXD,2025-09-23 15:20:00,2025-09-23 13:17:00,13.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,QP1546,India,India,13,15,True,False,13.0,Domestic,
active,departure,QP,Akasa Air,,,2025-09-23 15:18:00,VNS,2025-09-23 15:35:00,2025-09-23 13:25:00,16.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,QP1498,India,India,13,15,True,False,16.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:57:00,KNU,2025-09-23 15:20:00,2025-09-23 13:12:00,2.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,VS8582,India,India,13,15,True,False,2.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 14:57:00,KNU,2025-09-23 15:20:00,2025-09-23 13:12:00,2.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,6E824,India,India,13,15,True,False,2.0,Domestic,
active,departure,AI,Air India,,,2025-09-23 14:38:00,IXE,2025-09-23 15:00:00,2025-09-23 13:22:00,8.0,2025-09-23 13:07:00,BOM,2025-09-23 13:15:00,AI9669,India,India,13,15,True,False,8.0,Domestic,
active,departure,IX,Air India Express,,,2025-09-23 14:38:00,IXE,2025-09-23 15:00:00,2025-09-23 13:22:00,8.0,2025-09-23 13:07:00,BOM,2025-09-23 13:15:00,IX2546,India,India,13,15,True,False,8.0,Domestic,
active,departure,AI,Air India,,12.0,2025-09-23 16:12:00,CCU,2025-09-23 16:00:00,2025-09-23 13:52:00,28.0,2025-09-23 13:36:00,BOM,2025-09-23 13:25:00,AI179,India,India,13,16,True,True,40.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:44:00,IXR,2025-09-23 16:00:00,2025-09-23 13:44:00,19.0,2025-09-23 13:25:00,BOM,2025-09-23 13:25:00,VS8576,India,India,13,16,True,False,19.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 15:44:00,IXR,2025-09-23 16:00:00,2025-09-23 13:44:00,19.0,2025-09-23 13:25:00,BOM,2025-09-23 13:25:00,6E831,India,India,13,16,True,False,19.0,Domestic,
active,departure,AI,Air India,,,2025-09-23 14:40:00,SHJ,2025-09-23 15:05:00,2025-09-23 13:42:00,13.0,2025-09-23 13:29:00,BOM,2025-09-23 13:30:00,AI9171,India,United Arab Emirates,13,15,True,False,13.0,International,
active,departure,IX,Air India Express,,,2025-09-23 14:40:00,SHJ,2025-09-23 15:05:00,2025-09-23 13:42:00,13.0,2025-09-23 13:29:00,BOM,2025-09-23 13:30:00,IX251,India,United Arab Emirates,13,15,True,False,13.0,International,
active,departure,ET,Ethiopian Airlines,,19.0,2025-09-23 15:48:00,MAA,2025-09-23 15:30:00,2025-09-23 14:10:00,36.0,2025-09-23 13:48:00,BOM,2025-09-23 13:35:00,ET4406,India,India,13,15,True,True,55.0,Domestic,
