status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country,departure_hour,arrival_hour,departure_delay_flag,arrival_delay_flag,total_delay,flight_type,flight_duration,arrival.delay_missing,departure.delay_missing,arrival.actualTime_missing,departure.actualTime_missing,arrival.estimatedTime_missing,departure.estimatedTime_missing,flight_duration_missing,total_delay_missing
active,departure,6E,IndiGo,,,23-09-2025 12:32,GOI,23-09-2025 12:35,23-09-2025 11:42,33,23-09-2025 11:33,BOM,23-09-2025 11:10,6E5307,India,India,11,12,TRUE,FALSE,33,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,1,23-09-2025 13:21,AGR,23-09-2025 13:20,23-09-2025 11:46,36,23-09-2025 11:20,BOM,23-09-2025 11:10,6E5316,India,India,11,13,TRUE,TRUE,37,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,14,23-09-2025 12:53,UDR,23-09-2025 12:40,23-09-2025 11:49,34,23-09-2025 11:20,BOM,23-09-2025 11:15,AI2593,India,India,11,12,TRUE,TRUE,48,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,JL,Jet Linx Aviation,,2,23-09-2025 13:32,DEL,23-09-2025 13:30,23-09-2025 11:50,35,23-09-2025 11:30,BOM,23-09-2025 11:15,JL9260,India,India,11,13,TRUE,TRUE,37,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,QF,Qantas,,2,23-09-2025 13:32,DEL,23-09-2025 13:30,23-09-2025 11:50,35,23-09-2025 11:30,BOM,23-09-2025 11:15,QF5282,India,India,11,13,TRUE,TRUE,37,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,2,23-09-2025 13:32,DEL,23-09-2025 13:30,23-09-2025 11:50,35,23-09-2025 11:30,BOM,23-09-2025 11:15,VS8531,India,India,11,13,TRUE,TRUE,37,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,2,23-09-2025 13:32,DEL,23-09-2025 13:30,23-09-2025 11:50,35,23-09-2025 11:30,BOM,23-09-2025 11:15,6E6827,India,India,11,13,TRUE,TRUE,37,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,10,23-09-2025 13:15,BLR,23-09-2025 13:05,23-09-2025 11:56,37,23-09-2025 11:28,BOM,23-09-2025 11:20,AI2632,India,India,11,13,TRUE,TRUE,47,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,ET,Ethiopian Airlines,,1,23-09-2025 12:40,GOI,23-09-2025 12:40,23-09-2025 11:51,31,23-09-2025 11:28,BOM,23-09-2025 11:20,ET1755,India,India,11,12,TRUE,TRUE,32,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,1,23-09-2025 12:40,GOI,23-09-2025 12:40,23-09-2025 11:51,31,23-09-2025 11:28,BOM,23-09-2025 11:20,AI2841,India,India,11,12,TRUE,TRUE,32,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,SG,SpiceJet,,,23-09-2025 12:53,PBD,23-09-2025 13:00,23-09-2025 11:58,29,23-09-2025 11:39,BOM,23-09-2025 11:30,SG2905,India,India,11,13,TRUE,FALSE,29,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,BA,British Airways,,,23-09-2025 13:15,BLR,23-09-2025 13:20,23-09-2025 11:53,23,23-09-2025 11:25,BOM,23-09-2025 11:30,BA8019,India,India,11,13,TRUE,FALSE,23,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,JL,Jet Linx Aviation,,,23-09-2025 13:15,BLR,23-09-2025 13:20,23-09-2025 11:53,23,23-09-2025 11:25,BOM,23-09-2025 11:30,JL9758,India,India,11,13,TRUE,FALSE,23,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,KL,KLM,,,23-09-2025 13:15,BLR,23-09-2025 13:20,23-09-2025 11:53,23,23-09-2025 11:25,BOM,23-09-2025 11:30,KL4761,India,India,11,13,TRUE,FALSE,23,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,QF,Qantas,,,23-09-2025 13:15,BLR,23-09-2025 13:20,23-09-2025 11:53,23,23-09-2025 11:25,BOM,23-09-2025 11:30,QF5058,India,India,11,13,TRUE,FALSE,23,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 13:15,BLR,23-09-2025 13:20,23-09-2025 11:53,23,23-09-2025 11:25,BOM,23-09-2025 11:30,VS8496,India,India,11,13,TRUE,FALSE,23,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 13:15,BLR,23-09-2025 13:20,23-09-2025 11:53,23,23-09-2025 11:25,BOM,23-09-2025 11:30,6E5217,India,India,11,13,TRUE,FALSE,23,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
unknown,departure,MA,MAE Aircraft Management,,,,BAH,23-09-2025 13:00,,,,BOM,23-09-2025 11:30,MA6304,India,Bahrain,11,13,FALSE,FALSE,0,International,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
active,departure,AI,Air India,,2,23-09-2025 14:31,CCU,23-09-2025 14:30,23-09-2025 12:07,27,23-09-2025 11:48,BOM,23-09-2025 11:40,AI2471,India,India,11,14,TRUE,TRUE,29,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,NH,ANA,,,23-09-2025 19:44,SIN,23-09-2025 19:50,23-09-2025 12:13,28,23-09-2025 11:49,BOM,23-09-2025 11:45,NH6285,India,Singapore,11,19,TRUE,FALSE,28,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,NZ,Air New Zealand,,,23-09-2025 19:44,SIN,23-09-2025 19:50,23-09-2025 12:13,28,23-09-2025 11:49,BOM,23-09-2025 11:45,NZ3201,India,Singapore,11,19,TRUE,FALSE,28,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,SQ,Singapore Airlines,,,23-09-2025 19:44,SIN,23-09-2025 19:50,23-09-2025 12:13,28,23-09-2025 11:49,BOM,23-09-2025 11:45,SQ421,India,Singapore,11,19,TRUE,FALSE,28,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,,23-09-2025 13:44,DEL,23-09-2025 14:05,23-09-2025 12:03,13,23-09-2025 11:44,BOM,23-09-2025 11:50,AI2419,India,India,11,14,TRUE,FALSE,13,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 13:34,MAA,23-09-2025 13:50,23-09-2025 12:01,11,23-09-2025 11:42,BOM,23-09-2025 11:50,VS8594,India,India,11,13,TRUE,FALSE,11,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 13:34,MAA,23-09-2025 13:50,23-09-2025 12:01,11,23-09-2025 11:42,BOM,23-09-2025 11:50,6E5206,India,India,11,13,TRUE,FALSE,11,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,TK,Turkish Airlines,,,23-09-2025 13:19,HYD,23-09-2025 13:35,23-09-2025 12:11,17,23-09-2025 12:09,BOM,23-09-2025 11:55,TK4745,India,India,11,13,TRUE,FALSE,17,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 13:19,HYD,23-09-2025 13:35,23-09-2025 12:11,17,23-09-2025 12:09,BOM,23-09-2025 11:55,VS8556,India,India,11,13,TRUE,FALSE,17,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 13:19,HYD,23-09-2025 13:35,23-09-2025 12:11,17,23-09-2025 12:09,BOM,23-09-2025 11:55,6E5097,India,India,11,13,TRUE,FALSE,17,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,4,23-09-2025 13:49,CJB,23-09-2025 13:45,23-09-2025 12:18,18,23-09-2025 12:03,BOM,23-09-2025 12:00,AI683,India,India,12,13,TRUE,TRUE,22,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,,,GOI,23-09-2025 13:15,23-09-2025 12:53,53,23-09-2025 12:19,BOM,23-09-2025 12:00,AI9531,India,India,12,13,TRUE,FALSE,53,Domestic,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
active,departure,IX,Air India Express,,,,GOI,23-09-2025 13:15,23-09-2025 12:53,53,23-09-2025 12:19,BOM,23-09-2025 12:00,IX1070,India,India,12,13,TRUE,FALSE,53,Domestic,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 13:36,GWL,23-09-2025 14:00,23-09-2025 12:05,6,23-09-2025 12:02,BOM,23-09-2025 12:00,VS8552,India,India,12,14,TRUE,FALSE,6,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 13:36,GWL,23-09-2025 14:00,23-09-2025 12:05,6,23-09-2025 12:02,BOM,23-09-2025 12:00,6E5276,India,India,12,14,TRUE,FALSE,6,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,,,BBI,23-09-2025 14:30,,28,23-09-2025 12:33,BOM,23-09-2025 12:05,AI9416,India,India,12,14,TRUE,FALSE,28,Domestic,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
active,departure,IX,Air India Express,,,,BBI,23-09-2025 14:30,,28,23-09-2025 12:33,BOM,23-09-2025 12:05,IX1238,India,India,12,14,TRUE,FALSE,28,Domestic,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 13:43,JDH,23-09-2025 13:50,23-09-2025 11:27,,23-09-2025 12:04,BOM,23-09-2025 12:05,VS8581,India,India,12,13,FALSE,FALSE,0,Domestic,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 13:43,JDH,23-09-2025 13:50,23-09-2025 11:27,,23-09-2025 12:04,BOM,23-09-2025 12:05,6E5274,India,India,12,13,FALSE,FALSE,0,Domestic,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 13:55,IXD,23-09-2025 14:15,23-09-2025 12:15,10,23-09-2025 12:13,BOM,23-09-2025 12:05,VS8572,India,India,12,14,TRUE,FALSE,10,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 13:55,IXD,23-09-2025 14:15,23-09-2025 12:15,10,23-09-2025 12:13,BOM,23-09-2025 12:05,6E6937,India,India,12,14,TRUE,FALSE,10,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,,23-09-2025 14:14,DED,23-09-2025 14:20,23-09-2025 12:17,7,23-09-2025 12:06,BOM,23-09-2025 12:10,AI677,India,India,12,14,TRUE,FALSE,7,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,1,23-09-2025 14:36,VNS,23-09-2025 14:35,23-09-2025 12:44,30,23-09-2025 12:19,BOM,23-09-2025 12:15,AI9518,India,India,12,14,TRUE,TRUE,31,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,IX,Air India Express,,1,23-09-2025 14:36,VNS,23-09-2025 14:35,23-09-2025 12:44,30,23-09-2025 12:19,BOM,23-09-2025 12:15,IX1023,India,India,12,14,TRUE,TRUE,31,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,10,23-09-2025 15:14,CCU,23-09-2025 15:05,23-09-2025 12:47,28,23-09-2025 12:19,BOM,23-09-2025 12:20,AI2901,India,India,12,15,TRUE,TRUE,38,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,4,23-09-2025 15:03,CMB,23-09-2025 15:00,23-09-2025 12:55,30,23-09-2025 12:29,BOM,23-09-2025 12:25,AI276,India,Sri Lanka,12,15,TRUE,TRUE,34,International,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,,23-09-2025 14:25,DEL,23-09-2025 14:55,23-09-2025 12:41,12,23-09-2025 12:09,BOM,23-09-2025 12:30,AI2952,India,India,12,14,TRUE,FALSE,12,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,BA,British Airways,,,23-09-2025 14:29,DEL,23-09-2025 14:40,23-09-2025 12:50,20,23-09-2025 12:30,BOM,23-09-2025 12:30,BA8777,India,India,12,14,TRUE,FALSE,20,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,JL,Jet Linx Aviation,,,23-09-2025 14:29,DEL,23-09-2025 14:40,23-09-2025 12:50,20,23-09-2025 12:30,BOM,23-09-2025 12:30,JL9262,India,India,12,14,TRUE,FALSE,20,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,QF,Qantas,,,23-09-2025 14:29,DEL,23-09-2025 14:40,23-09-2025 12:50,20,23-09-2025 12:30,BOM,23-09-2025 12:30,QF5298,India,India,12,14,TRUE,FALSE,20,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 14:29,DEL,23-09-2025 14:40,23-09-2025 12:50,20,23-09-2025 12:30,BOM,23-09-2025 12:30,VS8535,India,India,12,14,TRUE,FALSE,20,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,23-09-2025 14:29,DEL,23-09-2025 14:40,23-09-2025 12:50,20,23-09-2025 12:30,BOM,23-09-2025 12:30,6E6028,India,India,12,14,TRUE,FALSE,20,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
