status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
landed,arrival,SQ,Singapore Airlines,2025-09-23T11:21:00.000,,2025-09-23T11:22:00.000,BOM,2025-09-23T11:25:00.000,2025-09-22T21:58:00.000,53.0,2025-09-22T21:05:00.000,LHR,2025-09-22T21:05:00.000,SQ4928
landed,arrival,AI,Air India,2025-09-23T11:21:00.000,,2025-09-23T11:22:00.000,BOM,2025-09-23T11:25:00.000,2025-09-22T21:58:00.000,53.0,2025-09-22T21:05:00.000,LHR,2025-09-22T21:05:00.000,AI130
landed,arrival,AI,Air India,2025-09-23T11:24:00.000,,2025-09-23T11:24:00.000,BOM,2025-09-23T11:25:00.000,2025-09-23T09:19:00.000,35.0,2025-09-23T09:04:00.000,IXC,2025-09-23T08:45:00.000,AI654
landed,arrival,AI,Air India,2025-09-23T10:27:00.000,,2025-09-23T10:27:00.000,BOM,2025-09-23T11:25:00.000,2025-09-23T08:48:00.000,,2025-09-23T09:00:00.000,CJB,2025-09-23T09:00:00.000,AI2508
landed,arrival,AI,Air India,2025-09-23T11:00:00.000,,2025-09-23T11:01:00.000,BOM,2025-09-23T11:25:00.000,2025-09-23T09:17:00.000,17.0,2025-09-23T09:02:00.000,DEL,2025-09-23T09:00:00.000,AI2963
landed,arrival,JL,Jet Linx Aviation,2025-09-23T10:53:00.000,,2025-09-23T10:53:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T09:12:00.000,12.0,2025-09-23T09:07:00.000,DEL,2025-09-23T09:00:00.000,JL9076
landed,arrival,QF,Qantas,2025-09-23T10:53:00.000,,2025-09-23T10:53:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T09:12:00.000,12.0,2025-09-23T09:07:00.000,DEL,2025-09-23T09:00:00.000,QF5283
landed,arrival,TK,Turkish Airlines,2025-09-23T10:53:00.000,,2025-09-23T10:53:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T09:12:00.000,12.0,2025-09-23T09:07:00.000,DEL,2025-09-23T09:00:00.000,TK4734
landed,arrival,VS,Virgin Atlantic,2025-09-23T10:53:00.000,,2025-09-23T10:53:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T09:12:00.000,12.0,2025-09-23T09:07:00.000,DEL,2025-09-23T09:00:00.000,VS8738
landed,arrival,6E,IndiGo,2025-09-23T10:53:00.000,,2025-09-23T10:53:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T09:12:00.000,12.0,2025-09-23T09:07:00.000,DEL,2025-09-23T09:00:00.000,6E6107
