status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
unknown,departure,MA,MAE Aircraft Management,,,,BAH,2025-09-23 13:00:00,,,,BOM,2025-09-23 11:30:00,MA6304
active,departure,AI,Air India,,2.0,2025-09-23 14:31:00,CCU,2025-09-23 14:30:00,2025-09-23 12:07:00,27.0,2025-09-23 11:48:00,BOM,2025-09-23 11:40:00,AI2471
active,departure,NH,ANA,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,NH6285
active,departure,NZ,Air New Zealand,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,NZ3201
active,departure,SQ,Singapore Airlines,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,SQ421
active,departure,AI,Air India,,,2025-09-23 13:44:00,DEL,2025-09-23 14:05:00,2025-09-23 12:03:00,13.0,2025-09-23 11:44:00,BOM,2025-09-23 11:50:00,AI2419
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:34:00,MAA,2025-09-23 13:50:00,2025-09-23 12:01:00,11.0,2025-09-23 11:42:00,BOM,2025-09-23 11:50:00,VS8594
active,departure,6E,IndiGo,,,2025-09-23 13:34:00,MAA,2025-09-23 13:50:00,2025-09-23 12:01:00,11.0,2025-09-23 11:42:00,BOM,2025-09-23 11:50:00,6E5206
active,departure,TK,Turkish Airlines,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,TK4745
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,VS8556
active,departure,6E,IndiGo,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,6E5097
active,departure,AI,Air India,,4.0,2025-09-23 13:49:00,CJB,2025-09-23 13:45:00,2025-09-23 12:18:00,18.0,2025-09-23 12:03:00,BOM,2025-09-23 12:00:00,AI683
active,departure,AI,Air India,,,,GOI,2025-09-23 13:15:00,2025-09-23 12:53:00,53.0,2025-09-23 12:19:00,BOM,2025-09-23 12:00:00,AI9531
active,departure,IX,Air India Express,,,,GOI,2025-09-23 13:15:00,2025-09-23 12:53:00,53.0,2025-09-23 12:19:00,BOM,2025-09-23 12:00:00,IX1070
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:36:00,GWL,2025-09-23 14:00:00,2025-09-23 12:05:00,6.0,2025-09-23 12:02:00,BOM,2025-09-23 12:00:00,VS8552
active,departure,6E,IndiGo,,,2025-09-23 13:36:00,GWL,2025-09-23 14:00:00,2025-09-23 12:05:00,6.0,2025-09-23 12:02:00,BOM,2025-09-23 12:00:00,6E5276
active,departure,AI,Air India,,,,BBI,2025-09-23 14:30:00,,28.0,2025-09-23 12:33:00,BOM,2025-09-23 12:05:00,AI9416
active,departure,IX,Air India Express,,,,BBI,2025-09-23 14:30:00,,28.0,2025-09-23 12:33:00,BOM,2025-09-23 12:05:00,IX1238
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:43:00,JDH,2025-09-23 13:50:00,2025-09-23 11:27:00,,2025-09-23 12:04:00,BOM,2025-09-23 12:05:00,VS8581
active,departure,6E,IndiGo,,,2025-09-23 13:43:00,JDH,2025-09-23 13:50:00,2025-09-23 11:27:00,,2025-09-23 12:04:00,BOM,2025-09-23 12:05:00,6E5274
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:55:00,IXD,2025-09-23 14:15:00,2025-09-23 12:15:00,10.0,2025-09-23 12:13:00,BOM,2025-09-23 12:05:00,VS8572
active,departure,6E,IndiGo,,,2025-09-23 13:55:00,IXD,2025-09-23 14:15:00,2025-09-23 12:15:00,10.0,2025-09-23 12:13:00,BOM,2025-09-23 12:05:00,6E6937
active,departure,AI,Air India,,,2025-09-23 14:14:00,DED,2025-09-23 14:20:00,2025-09-23 12:17:00,7.0,2025-09-23 12:06:00,BOM,2025-09-23 12:10:00,AI677
active,departure,AI,Air India,,1.0,2025-09-23 14:36:00,VNS,2025-09-23 14:35:00,2025-09-23 12:44:00,30.0,2025-09-23 12:19:00,BOM,2025-09-23 12:15:00,AI9518
